निर्मला,निरमला
घुड़सवार,घुर​सवार
युवा,युवा
रविवार,रबिवार​
बताया,बतवला
उछलना,उछलल​
बदमाश,बदमास
तरसता,तरसत
मुटाव,मोटाव
प्रभुता,प्रभुता
जिलों,जिलन
कीड़ा,कीरा
साक्षात,सक्षात
विचारपरक,बिचारपरक
मुफ्त,मुफ्त
सुन्दरता,सुन्दरता
नरेन्द्र,नरेन्दर
मानवीयता,मानवीयता
रखा,राखल
घटा,घटल
हल्दी,हरदी
अस्तित्व,असतित्व
शर्माली,सरमाली
तलाश,तलास
जमाना,जमावल
विनती,बिनती
बिधि,बिधि
नौकर,नोकर
शिवपूजन,सिवपूजन
आग,आग
शाख,साख​
इतराना,इतराइल
डूब,डूबल
बाँटना,बाँटल
शुभचिन्तक,सुभचिन्तक
ठहरना,ठहरल
बौराना,बउराइल
छलांग,छलांग
माधव,माधो
घुटना,घोटना
दबाना,दबावल
चावल,चाउर
इशारा,इसारा
प्रेम,परेम
फजीहत,फझीहत
फोन,फोनवा
बोली,बोली
सिद्ध,सिद्ध
आशक्ति,असकति
ईकाइयों,ईकाइयन
बुधवार,बुधवार
कल्पनाशीलता,कलपनासीलता
पैसावाला,पइसावाला
गुण,गुन
लालसा,ललसा
मायका,मायका
भाना,भावल
परिभाषा,परिभासा
प्यार​,पियार
वस्तु,ब​स्तु
आंगन,आँगन
कानाफूसी,कानाफूसी
प्रार्थना,प्रारथना
नौका,नव​का
दूकानों,दूकानन
घोषित,घोसित
अर्जुन,अरजुन
उन्नीस,ओनइस
उगिलवाना,उगिलवावल
अधर्मी,अधरमी
शीत,सीत
कर्जखोर,करजखोर
जरनैल,जरनइल
पीछे,पाछे
कबूतर,कबूत्तर
परेशानी,परेसानी
मुसीबत,मोसीबत
नौकरी,नोकरी
रजिस्टर,रजिस्टर
नैतिक,नैतिक
कुर्बान,कुरबान
नीद,नीन
ठनना,ठनल
मूल्यहीन,मूल्यहीन
फायदेमंद,फादेमन्द
उदेश्य,उदेस्य
सोलह,सोरह
बक्सर,बक्सर
छवि,छबि
चर्म,चरम
लरखराना,लरखराइल
फिर,फेरू
लापरवाही,लपरवाही
बिछना,बिछल
मौसम,मव​सम
उतारना,उतारल
आजादी,अजादी
पूंजी,पूजी
तीर्थयात्रा,तीरथयात्रा
आवर्त,आवर्त
प्रत्यक्ष,परतच्छ
मुस्कुरा,मुसकुरा
फटकारना,फटकारल
काशी,कासी
चमत्कारी,चमतकारी
तमतमाना,तमतमाइल
सदैव,सदैव
कार्यालय,कारयालय
लुटे,लूटलन
गहरा,गेहरा
डँटवाना,डँटवावल
माँग,माँग
नुकसान,नोकसान
मींजना,मींजल
लांघना,लाघना
डरना,डरल
टर्की,टरकी
सख्त,सख्त
बेवकूफ,बेकूफ
पोसना,पोसल
गड़ाना,गड़ावल
रिजल्ट,रेजल्ट
इतवार,अतवार
अनुमान,अनोमान
कैसे,कइसे
प्रतिनिधि,परतिनिधि
चुनौटी,चुनउटी
अपरम्पार,अपरम्पार
तुच्छ,तुछ
जनवितरण,जनवितरन
स्थानीय,ईस्थानीय
कर्त्तव्य,कर्तब्य
गायब,गायब
नदी,नदी
करेंट,करेन्ट
बेंच,बेन्च
धंधा,धनधा
नक्सलियों,नकसलियन
प्रतिवर्ष,प्रतिबरस​
सट्टेबाजों,सट्टेबाजन
डिग्री,डिगरी
पर्त,परत
सत्यकाम,सत्यकाम
वोटर,बोटर
जन्म,जनम
मक्खी,मख्खी
गुदगुदाना,गुदगुदावल
बिक्री,बिकरी
उपाय,उपाइ
शर्त,स​र्त
शामिल,सामिल
एकाग्रता,एकागरता
कीड़ा,किरा
नामकरण,नामकरन
पाठकों,पाठकन
संसाधनों,संसाधनन
गतिशील,गतिसील
बैलगाड़ी,बइलगाड़ी
बुलाहट,बोलहट
ज़िद,जिद​
विषय,बिसय
उपग्रह,उपगरह
